Listing URL,Name of Activity,Date,Location,Event Synopsis,Event Description,Registration Link,Activity Category
https://www.wateraid.org//uk/get-involved/fundraising/lent-appeal-jars-of-change,Lent Appeal: Jars of Change,NA,NA,"Together, we can help those hit hardest by climate change to prepare for a more certain future – whatever the weather.","If you were able to support our Jars of Change appeal this Lent, thank you! ",NA,fundraising
https://www.wateraid.org//uk/get-involved/fundraising/charity-of-the-year-or-term,Charity of the year or term,NA,NA,"Choose WaterAid as your school charity of the year or term, and unlock the potential of children just like Joy (above) with clean water, decent toilets and good hygiene.","By making WaterAid your charity of the year or term, you'll be helping reach children with clean water, decent toilets and good hygiene who still don't have them. With all three essential services, children can lead healthier lives. They have the chance to go to school, enjoy their childhood and fulfil their potential. What's more, your pupils will get to see the amazing impact of their fundraising through regular video and email updates from the schools and communities we support – like Simango School in Zambia.Fundraising by UK schools helped Simango School install water pipes, a toilet block and handwashing stations for the first time ever. Now, Joy and her classmates can enjoy studying and playing in an environment with clean drinking water, safe private toilets and good hygiene – things that should be normal for everyone, everywhere.",NA,fundraising
https://www.wateraid.org//uk/get-involved/events/just-water,Just Water,1 January 2025 - 31 January 2025,NA,"Drink nothing but water as you take part in the ultimate detox – for a week, a fortnight, or even the whole month – and fundraise to give others the gift of clean water.","After the over-indulgence of the festive season, January is the perfect time to give your body a fresh start! Plus, getting sponsored for this challenge means the benefits will extend far beyond just you – you'll help us reach the almost 1 in 10 people around the world who don't have access to clean water. Are you in? Registrations for January 2025 will open later this year. ",NA,events
https://www.wateraid.org//uk/get-involved/teaching-resources/ks4/managing-climate-change,KS4: Managing climate change,NA,NA,"This lesson asks how we can manage the impacts of climate change, and the explores the differences between adaptation and mitigation techniques.","By the end of this lesson, pupils will be able to:explain different methods of managing climate change,
evaluate the most appropriate management techniques.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/teaching/water-company-resources,Educational resources from your local water company,NA,NA,"Discover the education opportunities your local water company is offering, including regional online resources, school talks and visits to their sites.","In 1981, WaterAid was set up by members of the UK water industry. Their aim was simple – to unlock the potential of communities across the world by getting clean water, decent toilets and good hygiene to everyone.Today, our water industry partners remain at the heart of what we do, and make an invaluable contribution to helping change lives for good. We work closely with their education teams to help teach young people about the value of taps and toilets.",NA,teaching
https://www.wateraid.org//uk/get-involved/giving/wateraids-good-loos,WaterAid's Good Loos,NA,NA,"Are you a festival or event organiser, looking for a block of environmentally friendly, self-sufficient, composting toilets? A block of toilets that will make a difference not only to your event’s attendees, but also to people around the world?","The Good Loos are an environmentally friendly, self-sufficient block of composting toilets with toilet paper and sanitary bins.They have capacity for between 10-20 individual loos, plus one accessible loo, in either one large or two smaller blocks.We work with J Healy Productions who support the Good Loos through the toilets' set up, maintenance and pack down. Check out our hire options belowFancy volunteering at our Good Loos?Check out our festival volunteering opportunities",NA,giving
https://www.wateraid.org//uk/get-involved/fundraising/join-the-pupil-pipeline,Join the Pupil Pipeline,NA,NA,"Our educational challenge brings to life topics from Science, Geography, Art, and Design and Technology, whilst helping your pupils learn about water issues around the world.","Pupils need to work together to transport 10 litres of water over 50 metres, within 20 minutes, with as little waste as possible. The catch? Nobody can leave their spot in the line!You can choose when to take on the challenge, and your pupils could compete against other classes, or even against local schools! The winning team is the one to transport the most water with the least waste, within the time allowed.Register for your free resources to take part",NA,fundraising
https://www.wateraid.org//uk/get-involved/events/henley-swim-festival/club-to-pub,Henley Swim Festival: Club to Pub,27 July 2024,Henley Rowing Club,Enjoy a summer evening's swim from Henley Rowing Club – straight to the pub!,"Setting off in the early evening from Henley Rowing Club, you'll swim 400m upstream towards Marsh lock, before turning and hugging the Mill Meadow bank downstream, all the way to the Angel on the Bridge pub. Register for Club to Pub Not the right challenge for you? You can also join us at one of Henley Swim's other iconic events, Henley Swim Festival or the Thames Marathon. ",https://endurancecui.active.com/event-reg/select-race?e=89269309,events
https://www.wateraid.org//uk/get-involved/events/tcs-london-marathon,TCS London Marathon,27 April 2025,London,"With an electric atmosphere, an iconic route, and great support along the way, this is a bucket list race for a reason!","One of the six World Marathon Majors and a firm fixture in the UK's cultural calendar, the TCS London Marathon truly is a race like no other. You'll run past some of the capital's greatest attractions – supported by masses of cheering crowds along the whole route – before celebrating an iconic finish on the Mall. ",NA,events
https://www.wateraid.org//uk/get-involved/giving/give-in-celebration,Give in celebration,NA,NA,"Instead of receiving presents, why not pass on the gifts of clean water, decent toilets and good hygiene to those who need them most?","From birthdays and weddings to religious festivals and anniversaries – mark a special date in your own life, and use your celebration to help others transform theirs for good. ",NA,giving
